,Unnamed: 0,Material,Name..global...english,Chemical.group,Phase,CAS.no._1,CAS.no._2,CAS.no._3,csid
122,123,131022,CRESYL PHENYL ACETATE PARA,ESTER,S,101-94-0,,,54958
123,124,131180,CUMINIC ALCOHOL,ALCOHOL,,536-60-7,,,28591566
124,125,164812,CUMINIC ALDEHYDE,ALDEHYDE,,122-03-2,,,21106431
125,126,659576,CUMINIC NITRILE,NITRILE,,13816-33-6,,,226782
126,127,103303,CYCLABUTE,ESTER,,67634-20-2,68039-39-4,,96077
127,128,130935,CYCLAMEN ALDEHYDE,ALDEHYDE,,103-95-7,,,451801
128,129,903737,CYCLEMAX,ALDEHYDE,,7775-00-0,,,56405
129,130,131325,DIBUTYL SULFIDE,ETHER,,544-40-1,,,10536
130,131,660556,DIHYDRO ANETHOLE,ETHER,,104-45-0,,,13850344
131,132,103574,DIHYDRO IONONE BETA,KETONE,,17283-81-7,,,453036
132,133,130253,DIHYDRO JASMONE,KETONE,,1128-08-1,,,56166
133,134,103011,DIHYDRO MYRCENOL,ALCOHOL,,18479-58-8,,,27067
134,135,601343,DIHYDRO MYRCENYL ACETATE,ESTER,,53767-93-4,,,93738
135,136,600515,DIHYDROAMBRETTOLIDE,LACTONE,S,109-29-5,,,7695
136,137,131143,DIHYDROCARVYL ACETATE,ESTER,,20777-49-5,,,28089
137,138,130941,DIMETHYL ANTHRANILATE EXTRA,ESTER,,85-91-6,,,21108245
138,139,130255,DIMETHYL BENZYL CARBINOL,ALCOHOL,,100-86-7,,,7250
139,140,130254,DIMETHYL BENZYL CARBINYL ACETATE,ESTER,,151-05-3,,,76389
140,141,903930,DIMETHYL BENZYL CARBINYL ACETATE FG,ESTER,,151-05-3,,,76389
141,142,903994,DIMETHYL BENZYL CARBINYL BUTYRAT FG,ESTER,,10094-34-5,,,23294
142,143,104283,DIMETHYL BENZYL CARBINYL BUTYRATE,ESTER,,10094-34-5,,,23294
143,144,131314,"DIMETHYL ETHYL PYRAZINE-3,5(6),2",HETEROCYCLIC,,27043-05-6,,,17347410
144,145,103067,DIMETHYL HYDROQUINONE,ETHER,S,150-78-7,,,21105878
145,146,902804,DIMETHYL OCTENONE,KETONE,,2550-11-0,,,183057
146,147,699708,DIOCTYL ADIPATE,ESTER,,103-23-1,,,32787426
147,148,658651,DIOLA,ETHER,,4747-07-3,,,70849
148,149,104099,DIPHENYL METHANE,HYDROCARBON,,101-81-5,,,7299
149,150,130273,DIPHENYL OXIDE,ETHER,,101-84-8,,,7302
150,151,160102,DIPROPYLENE GLYCOL,ALCOHOL,,25265-71-8,,,23078620
151,152,657948,"DODECADIENAL 2,6",ALDEHYDE,,21662-13-5,,,4936098
152,153,130286,DODECALACTONE DELTA,LACTONE,,713-95-1,,,5028522
153,154,690750,DODECALACTONE GAMMA,LACTONE,,2305-05-7,,,15940
154,155,131469,DODECENAL TRANS-2,ALDEHYDE,,20407-84-5,,,4446482
155,156,178583,DOWANOL DPM,ETHER,,34590-94-8,,,17215460
156,157,107231,DOWANOL TPM,ETHER,,25498-49-1,,,30564
157,158,198072,DUPICAL,ALDEHYDE,,30168-23-1,,,21229677
158,159,100202,DYNASCONE,KETONE,,56973-85-4,,,83599
159,160,105703,EBANOL,ALCOHOL,,67801-20-1,,,21162396
160,161,103853,ELINTAL FORTE,ACETAL,,40910-49-4,,,5429330
161,162,130298,ETHYL ACETATE,ESTER,,141-78-6,,,8525
162,163,164019,ETHYL ACETOACETATE,ESTER,,141-97-9,,,13865426
163,164,105384,ETHYL BENZOYL ACETATE,ESTER,,94-02-0,,,234069
164,165,660448,ETHYL CINNAMATE,ESTER,,103-36-6,,,26403950
165,166,131245,"ETHYL DECADIENOATE TRANS CIS-2,4",ESTER,,3025-30-7,,,4444602
166,167,131130,ETHYL ISOBUTYRATE,ESTER,,97-62-1,,,7065
167,168,130601,ETHYL LACTATE,ESTER,,97-64-3,,,13837423
168,169,104760,ETHYL LAURATE,ESTER,,106-33-2,,,7512
