Material,Name,Chemical.group,Phase,CAS,CASNO2,CASNO3,csid
103574,DIHYDRO IONONE BETA,KETONE,,17283-81-7,,,453036
130253,DIHYDRO JASMONE,KETONE,,1128-08-1,,,56166
103011,DIHYDRO MYRCENOL,ALCOHOL,,18479-58-8,,,27067
601343,DIHYDRO MYRCENYL ACETATE,ESTER,,53767-93-4,,,93738
600515,DIHYDROAMBRETTOLIDE,LACTONE,S,109-29-5,,,7695
131143,DIHYDROCARVYL ACETATE,ESTER,,20777-49-5,,,28089
130941,DIMETHYL ANTHRANILATE EXTRA,ESTER,,85-91-6,,,21108245
130255,DIMETHYL BENZYL CARBINOL,ALCOHOL,,100-86-7,,,7250
130254,DIMETHYL BENZYL CARBINYL ACETATE,ESTER,,151-05-3,,,76389
903930,DIMETHYL BENZYL CARBINYL ACETATE FG,ESTER,,151-05-3,,,76389
903994,DIMETHYL BENZYL CARBINYL BUTYRAT FG,ESTER,,10094-34-5,,,23294
104283,DIMETHYL BENZYL CARBINYL BUTYRATE,ESTER,,10094-34-5,,,23294
131314,"DIMETHYL ETHYL PYRAZINE-3,5(6),2",HETEROCYCLIC,,27043-05-6,,,17347410
103067,DIMETHYL HYDROQUINONE,ETHER,S,150-78-7,,,21105878
902804,DIMETHYL OCTENONE,KETONE,,2550-11-0,,,183057
699708,DIOCTYL ADIPATE,ESTER,,103-23-1,,,32787426
658651,DIOLA,ETHER,,4747-07-3,,,70849
104099,DIPHENYL METHANE,HYDROCARBON,,101-81-5,,,7299
130273,DIPHENYL OXIDE,ETHER,,101-84-8,,,7302
160102,DIPROPYLENE GLYCOL,ALCOHOL,,25265-71-8,,,23078620
657948,"DODECADIENAL 2,6",ALDEHYDE,,21662-13-5,,,4936098
130286,DODECALACTONE DELTA,LACTONE,,713-95-1,,,5028522
690750,DODECALACTONE GAMMA,LACTONE,,2305-05-7,,,15940
131469,DODECENAL TRANS-2,ALDEHYDE,,20407-84-5,,,4446482
178583,DOWANOL DPM,ETHER,,34590-94-8,,,17215460
107231,DOWANOL TPM,ETHER,,25498-49-1,,,30564
198072,DUPICAL,ALDEHYDE,,30168-23-1,,,21229677
100202,DYNASCONE,KETONE,,56973-85-4,,,83599
105703,EBANOL,ALCOHOL,,67801-20-1,,,21162396
103853,ELINTAL FORTE,ACETAL,,40910-49-4,,,5429330
130298,ETHYL ACETATE,ESTER,,141-78-6,,,8525
164019,ETHYL ACETOACETATE,ESTER,,141-97-9,,,13865426
105384,ETHYL BENZOYL ACETATE,ESTER,,94-02-0,,,234069
660448,ETHYL CINNAMATE,ESTER,,103-36-6,,,26403950
131245,"ETHYL DECADIENOATE TRANS CIS-2,4",ESTER,,3025-30-7,,,4444602
131130,ETHYL ISOBUTYRATE,ESTER,,97-62-1,,,7065
130601,ETHYL LACTATE,ESTER,,97-64-3,,,13837423
104760,ETHYL LAURATE,ESTER,,106-33-2,,,7512
131323,ETHYL LINALOOL,ALCOHOL,,10339-55-6,,,57575556
105874,ETHYL LINALYL ACETATE,ESTER,,61931-80-4,,,21161945
131471,ETHYL LINOLEATE,ESTER,,544-35-4,,,4445379
116165,ETHYL MALTOL,KETONE,S,4940-11-8,,,19804
611402,ETHYL METHYL BUTYRATE-2,ESTER,,7452-79-1,,,28595366
105951,ETHYL PHENYL ACETATE,ESTER,,101-97-3,,,23621260
103250,ETHYL PROPIONATE,ESTER,,105-37-3,,,7463
131421,ETHYL RICINOLEATE,ESTER,,55066-53-0,,,29355624
105543,ETHYL SALICYLATE,ESTER,,118-61-6,,,21105897
130141,ETHYL VANILLIN,ALDEHYDE,S,121-32-4,,,8154
130966,ETHYLENE BRASSYLATE,ESTER,,105-95-3,,,54974
608025,EUGENOL NAT.,PHENOL,,97-53-0,,,13876103
131135,EUGENYL ACETATE,ESTER,,93-28-7,,,6869
131176,EVERNYL,ESTER,S,4707-47-5,,,70804
101800,EXALTENONE 942008,KETONE,S,14595-54-1,35720-57-1,,4896164
120648,EXOVERT HIGH IMPACT,ESTER,,37172-53-5,,,34995989
656019,FARENAL¬,ALDEHYDE,,141-13-9,,,88859
130329,FARNESOL,ALCOHOL,,4602-84-0,,,392816
131317,FENCHOL,ALCOHOL,S,1632-73-1,,,14665
130337,FENCHYL ACETATE,ESTER,,13851-11-1,,,96486
690986,FILBERTONE,KETONE,,81925-81-7,,,35013882
100188,FLEURANIL,NITRILE,,134123-93-6,,,144100
643592,FLORAL SUPER,ALDEHYDE,,71077-31-1,,,21168193
106597,FLORHYDRAL,ALDEHYDE,,125109-85-5,,,77763
690307,FLOROPAL,ACETAL,,5182-36-5,,,641750
103519,FLOROSA,ALCOHOL,,63500-71-0,,,2285174
903971,FLOROSA BM / PYRANOL,ALCOHOL,,63500-71-0,,,2285174
103822,FRAGOLANE¬,ESTER,,6290-17-1,,,5362401
131479,FRAMBINON¬ METHYL ETHER,KETONE,,104-20-1,,,2015027
103208,FREESIOL / CORPS 119,ALCOHOL,,13254-34-7,,,75130
600165,FRESCOLAT¬ MGA,ACETAL,,63187-91-7,,,34987393
131156,FRESCOMENTHE,KETONE,,14765-30-1,,,5360744
639794,FRUCTATE¬,ESTER,,155514-23-1,,,0
106156,FRUITATE,ESTER,,129520-41-8,80623-07-0,80657-64-3,138471
611400,FRUTINAT,ESTER,,35206-51-0,,,21229949
172379,FRUTONILE,NITRILE,,69300-15-8,,,2285556
600291,FURAMINTON/TONKALACTONE»,LACTONE,,65817-24-5,,,34986275
131225,FURANEOL,ALCOHOL,S,3658-77-3,,,18218
130354,FURFURYL MERCAPTAN,ESTER,,98-02-2,,,7085
659519,FURFURYL PYRROLE,HETEROCYCLIC,,1438-94-4,,,28945393
197635,GALBASCONE,KETONE,,56973-85-4,,,83599
105864,GARDAMIDE,AMIDE,,84434-18-4,,,143374
103908,GERANIOL SUPER,ALCOHOL,,106-24-1,,,13849989
106215,GERANYL ACETATE PURE,ESTER,,105-87-3,,,1266019
104269,GERANYL ACETONE SYNTH.,KETONE,,3796-70-1,,,1266569
103599,GERANYL BUTYRATE,ESTER,,106-29-6,,,218979
105471,GERANYL FORMATE,ESTER,,105-86-2,,,58107147
131112,GERANYL ISOBUTYRATE,ESTER,,2345-26-8,,,4803060
131131,GERANYL ISOVALERATE,ESTER,,109-20-6,,,4515295
601133,GERANYL METHYL ETHER,ETHER,,2565-82-4,,,57575558
103600,GERANYL PHENYLACETATE,ESTER,,102-22-7,,,4517973
131093,GERANYL PROPIONATE,ESTER,,105-90-8,,,4511742
103203,GERANYL TIGLATE,ESTER,,7785-33-3,,,4519264
103117,GIVESCONE,ESTER,,57934-97-1,77851-07-1,,17461884
106114,GLOBALIDE¬,LACTONE,,111879-80-2,34902-57-3,,9783147
600317,GLOBANONE¬,KETONE,S,3100-36-5,,,4895976
199083,GLYCOLIERRAL,ACETAL,,68901-32-6,,,17461618
199085,GRISALVA,ETHER,,68611-23-4,90411-73-7,,143278
131059,GUAIYL ACETATE,ESTER,,61789-17-1,94333-88-7,,0
105601,GYRANE,ETHER,,24237-00-1,,,82300
103828,HELIONAL,ALDEHYDE,,1205-17-0,,,58337
130382,HELIOTROPIN,ALDEHYDE,S,120-57-0,,,13859497
106228,HELIOTROPIN/PIPERONAL NAT.,ALDEHYDE,S,120-57-0,,,13859497
104002,HELIOTROPYL ACETATE,ESTER,,326-61-4,,,9101
600543,HELVETOLIDE,ESTER,,141773-73-1,,,34991351
130986,HEPTALACTONE GAMMA,LACTONE,,105-21-5,,,7456
131184,HEPTANAL DIETHYL ACETAL,ACETAL,,688-82-4,,,31043618
103261,HERBAC,KETONE,,25304-14-7,,,82521
103247,HERBAFLORAT,ESTER,,5413-60-5,,,99320
195923,HERBANATE,ESTER,,116126-82-0,,,23349264
131523,HERBOXAN,ACETAL,,54546-26-8,,,85337
131337,HERBYL PROPIONATE,ESTER,,17511-60-3,68912-13-0,,78087
103500,HERCOLYN D-E,ESTER,,8050-15-5,,,0
130172,HEXALACTONE GAMMA,LACTONE,,695-06-7,,,12232
131080,HEXENAL TRANS-2,ALDEHYDE,,6728-26-3,,,4444608
130870,HEXENOL TRANS-2,ALCOHOL,,928-95-0,,,4476685
130041,HEXYL CINNAMIC ALDEHYDE ALPHA,ALDEHYDE,,101-86-0,165184-98-5,,1267362
131266,HEXYL ISOBUTYRATE,ESTER,,2349-07-7,,,15988
198030,HYACINTH BODY,ACETAL,,16930-96-4,,,92907
130391,HYDRATROPIC ALDEHYDE,ALDEHYDE,,93-53-8,,,6879
131183,HYDRATROPIC ALDEHYDE DIMETH.ACET,ACETAL,,90-87-9,,,56128
103026,HYDROXY CITRONELLAL,ALDEHYDE,,107-75-5,,,7600
104086,HYDROXY CITRONELLAL DIMET-ACETAL,ACETAL,,141-92-4,,,8530
105027,HYDROXY CITRONELLOL,ALCOHOL,,107-74-4,,,29786089
107288,HYDROXYAMBRAN,ALCOHOL,,118562-73-5,,,7991730
103493,ISOAMYL ACETATE NAT.,ESTER,,123-92-2,,,29016
164115,ISOAMYL ALCOHOL,ALCOHOL,,123-51-3,,,29000
613013,ISOAMYL BENZOATE,ESTER,,94-46-2,,,6925
611037,ISOAMYL ISOVALERATE,ESTER,,659-70-1,,,12093
104578,ISOAMYL PHENYL ACETATE,ESTER,,102-19-2,,,7318
104141,ISOAMYL SALICYLATE,ESTER,,87-20-7,,,6612
103263,ISOBORNEOL,ALCOHOL,,124-76-5,,,16739225
130453,ISOBORNYL ACETATE,ESTER,,125-12-2,,,5323219
184367,ISOBORNYL CYCLOHEXANOL,ALCOHOL,,4621-04-9,,,19528
131237,ISOBORNYL PROPIONATE,ESTER,,2756-56-1,,,19954883
104756,ISOBUTYL ACETATE,ESTER,,110-19-0,,,7747
660181,ISOBUTYL CINNAMATE,ESTER,,122-67-8,,,28963
105390,ISOBUTYL ISOBUTYRATE,ESTER,,97-85-8,,,7073
131239,"ISOBUTYL METHOXYPYRAZINE-3,2",HETEROCYCLIC,,24683-00-9,,,30208
105174,ISOBUTYL PHENYLACETATE,ESTER,,102-13-6,,,54959
103831,ISOBUTYL QUINOLINE,HETEROCYCLIC,,68198-80-1,,,98541
104354,ISOBUTYL QUINOLINE DL 100%,HETEROCYCLIC,,65442-31-1,,,93359
105683,ISOBUTYL SALICYLATE,ESTER,,87-19-4,,,6611
131275,ISODAMASCON¬,KETONE,,39872-57-6,,,52563506
103296,ISODODECANE,HYDROCARBON,,31807-55-3,93685-81-5,,21934
104768,ISOEUGENOL,PHENOL,,97-54-1,,,21106129
103615,ISOEUGENYL ACETATE,ESTER,S,93-29-8,,,765093
608049,ISOEUGENYL METHYL ETHER,ETHER,,93-16-3,,,26331475
104012,ISOJASMONE B 11,KETONE,,95-41-0,,,60134
659667,ISOLONGIFOLANON COEUR,KETONE,,23787-90-8,29461-14-1,,57579827
600359,ISOMUSCONE¬,KETONE,,2550-52-9,,,68213
164854,ISONONANOL,ALCOHOL,,3452-97-9,,,32786946
131210,ISONONYL ALDEHYDE S,ALDEHYDE,,5435-64-3,,,20276
103315,ISOOCTANONE,KETONE,,541-85-5,,,7534
105516,ISOPENTYRATE,ESTER,,80118-06-5,,,2286321
131418,ISOPHYTOL,ALCOHOL,,505-32-8,,,57576675
103452,ISOPROPYL CYCLOHEXANOL,ALCOHOL,,993925,,,19528
131390,"ISOPROPYL METHOXYPYRAZINE-2,3",HETEROCYCLIC,,25773-40-4,,,30649
132687,ISOPROPYL METHYLBUTYRATE-2,ESTER,,66576-71-4,,,34996281
131215,ISOPROPYL QUINOLINE,HETEROCYCLIC,,135-79-5,,,60617
601181,ISOPULEGOL FRACTION EX EUCALYPTUS OIL,ALCOHOL,,89-79-2,,,149356
131332,ISORALDEINE 70,KETONE,,1335-46-2,,,4521710
103928,ISORALDEINE 95,KETONE,,127-51-5,,,4522510
600000,ISOTRIDECYL ACETATE,ESTER,,69103-23-7,,,100612
164424,ISOVALERIC ACID,ACID,,503-74-2,,,10001
164421,ISOVALERIC ALDEHYDE,ALDEHYDE,,590-86-3,,,11065
100216,JACINTHAFLOR¬,ACETAL,,33941-99-0,,,105556
690965,JASMAPRUNAT,ESTER,,6413-10-1,,,72995
104686,JASMIN LACTONE,LACTONE,,25524-95-2,,,34990982
613148,JASMOL,ALCOHOL,,92368-90-6,,,34996286
104235,JASMOLACTONE CNC,LACTONE,,32764-98-0,,,34985514
131338,JASMOPOL AC1300,ESTER,,37172-53-5,,,34995989
103623,JASMOPYRANE,ESTER,,18871-14-2,,,1361549
127988,JAVANOL,ALCOHOL,,198404-98-7,,,13658169
106255,JEECOL ISA / ISOSTEARYL ALCOHOL,ALCOHOL,,27458-93-1,,,34992616
131222,JESSEMAL,ESTER,,38285-49-3,,,32696605
140419,KEPHALIS,ETHER,,36306-86-2,36306-87-3,,106156
131367,METHYL GERANIATE,ESTER,,1189-09-9,,,28689539
103396,METHYL GUAIACOL-4,PHENOL,,93-51-6,,,21105936
130576,"METHYL HEPTENONE-6,5,2",KETONE,,110-93-0,,,9478
103675,METHYL IONONE BETA COEUR (66559),KETONE,,1335-46-2,,,4521710
104250,METHYL IONONE GAMMA COEUR,KETONE,,127-51-5,,,4522510
103305,METHYL LAVENDER KETONE,KETONE,,67633-95-8,67801-33-6,,95149
106104,"METHYL METHOXY BUTANOL-3,3",ALCOHOL,,56539-66-3,,,55953
611401,METHYL METHYLBUTYRATE-2,ESTER,,868-57-5,,,12788
660240,METHYL NAPHTHYL KETONE BETA CRYST,KETONE,S,93-08-3,,,6855
131520,"METHYL PHENYLHEXENAL TRANS-5,2,2",ALDEHYDE,,21834-92-4,,,4576448
131424,METHYL TUBERATE PURE 100%,LACTONE,,33673-62-0,,,4207455
660564,METHYL UNDECYLENATE,ESTER,,111-81-9,,,7846
164487,METHYLBUTYRIC ACID-2,ACID,,116-53-0,,,8012
131403,"METHYLPENTENOIC ACID-2,2",ACID,,3142-72-1,,,5370713
142048,MINTONAT,ESTER,,67859-96-5,,,1064875
600092,MUGETANOL,ALCOHOL,,63767-86-2,,,102297
659479,MUGUETALCOHOL,ALCOHOL,,13351-61-6,,,75226
195930,MUSCENONE,KETONE,,63314-79-4,,,57523122
131545,MUSCONE,KETONE,,541-91-3,,,10483
197006,MYRALDYL ACETATE,ESTER,,72403-67-9,,,57261593
104032,MYRCENYL ACETATE,ESTER,,1118-39-4,,,13599
104663,MYROXYDE,ETHER,,69103-20-4,,,11252541
659673,MYSORE ACETATE,ESTER,,30772-69-1,,,141998
103836,NECTARYL,KETONE,,95962-14-4,,,153032
622501,NEO HELIOPAN¬ 357,KETONE,S,70356-09-1,,,46261
660523,NEO HELIOPAN¬ AV,KETONE,,5466-77-3,,,4511170
116210,NEO HELIOPAN¬ BB,KETONE,S,131-57-7,,,4471
131494,NEO HELIOPAN¬ OS,KETONE,,118-60-5,,,8061
690451,NEOCYCLO CITRAL,ALDEHYDE,,1335-66-6,,,21171842
611460,NEONONYL ACETATE,ESTER,,58430-94-7,,,38985
103885,NEROL 900,ALCOHOL,,106-25-2,,,558917
605361,NEROL 900 FG,ALCOHOL,,106-25-2,,,558917
130649,NEROLIDOL,ALCOHOL,,7212-44-4,,,8549
130659,NEROLIN BROMELIA,ETHER,S,93-18-5,,,6862
665020,NEROLIN YARA YARA CRIST.,ETHER,S,93-04-9,,,6852
600321,NEROLIONE,KETONE,S,23911-56-0,,,1869668
106244,NERYL ACETATE,ESTER,,141-12-8,,,1266018
131363,"NONADIENAL TRANS,CIS-2,6",ALDEHYDE,,557-48-2,,,558840
131091,"NONADIENOL-2,6",ALCOHOL,,28069-72-9,,,4515298
131336,NONALACTONE DELTA,LACTONE,,3301-94-8,,,17658
131394,NONENAL CIS-6,ALDEHYDE,,2277-19-2,,,4515200
113522,NONENAL TRANS-2,ALDEHYDE,,18829-56-6,,,4446456
131395,NONENOL CIS-6,ALCOHOL,,35854-86-5,,,4515276
130246,NOPYL ACETATE,ESTER,,128-51-8,,,91804
131070,OCIMENYL ACETATE,ESTER,,72214-23-4,,,23353077
130675,OCTAHYDRO COUMARIN,LACTONE,,4430-31-3,,,32698259
131485,OCTALACTONE DELTA,LACTONE,,698-76-0,,,5602560
105565,OCTALACTONE GAMMA,LACTONE,,104-50-7,,,7418
638261,"OCTENOL-1,3",ALCOHOL,,3391-86-4,,,17778
131274,"OCTENYL ACETATE-1,3",ESTER,,2442-10-6,,,16205
611469,OCTYL ACETATE-3 NAT.,ESTER,,4864-61-3,,,9994141
131308,OCTYL BUTYRATE,ESTER,,110-39-4,,,54989
107085,OKOUMAL,ETHER,,131812-67-4,,,2298767
198064,ORANGE FLOWER ETHER,ETHER,,14576-08-0,,,77346
197014,ORCINOL MONOMETHYL ETHER,PHENOL,S,3209-13-0,,,69135
131227,ORIVONE,KETONE,,16587-71-6,,,109262
103451,ORYCLON@ HC,ESTER,,32210-23-4,,,58107066
103260,OXYOCTALINE FORMATE,ESTER,,65405-72-3,,,103345
611471,OZONIL,NITRILE,,22629-49-8,,,5020973
690230,PALISANDAL,ACETAL,,950-33-4,,,63549
690165,PALISANDIN,ETHER,,2986-54-1,,,24590600
100210,PARMANYL¬,NITRILE,,142653-61-0,,,23349752
600300,PASSIFLORAN,KETONE,,136954-25-1,,,34988367
164637,PELARGONIC ACID,ACID,,112-05-0,,,7866
130058,"PENTANDIONE-2,3",KETONE,,600-14-6,,,11254
107343,PEONILE,NITRILE,,10461-98-0,,,59705
179339,PERANAT,ESTER,,90397-38-9,,,143492
179349,PETIOLE,ETHER,,68039-47-4,,,95833
698337,PHELLANDREN FRACTION EX EUCALYPTUS OIL,HYDROCARBON,,4221-98-1,,,390915
105991,PHENIRAT¬,ESTER,,103-60-6,,,10605817
198070,PHENOXANOL,ALCOHOL,,55066-48-3,,,97376
130089,PHENOXYETHYL ALCOHOL,ALCOHOL,,122-99-6,,,13848467
660354,PHENYLACETALDEHYDE,ALDEHYDE,,122-78-1,,,13876539
660345,PHENYLACETALDEHYDE DIMETHYL ACETAL,ACETAL,,101-48-4,,,13876435
600028,PHENYLACETALDEHYDE GLYCERYLACETAL,ACETAL,,29895-73-6,,,20580
621268,PHENYLACETIC ACID,ACID,S,103-82-2,,,10181341
130744,PHENYLETHYL ALCOHOL,ALCOHOL,,60-12-8,,,5830
103392,PHENYLETHYL BUTYRATE,ESTER,,103-52-6,,,7375
