"","Material","Name..global...english","Chemical.group","Phase","CAS.no._1","CAS.no._2","CAS.no._3"
"342",600321,"NEROLIONE","KETONE","S","23911-56-0",NA,NA
"343",106244,"NERYL ACETATE","ESTER","","141-12-8",NA,NA
"344",131363,"NONADIENAL TRANS,CIS-2,6","ALDEHYDE","","557-48-2",NA,NA
"345",131091,"NONADIENOL-2,6","ALCOHOL","","28069-72-9",NA,NA
"346",131336,"NONALACTONE DELTA","LACTONE","","3301-94-8",NA,NA
"347",131394,"NONENAL CIS-6","ALDEHYDE","","2277-19-2",NA,NA
"348",113522,"NONENAL TRANS-2","ALDEHYDE","","18829-56-6",NA,NA
"349",131395,"NONENOL CIS-6","ALCOHOL","","35854-86-5",NA,NA
"350",130246,"NOPYL ACETATE","ESTER","","128-51-8",NA,NA
"351",131070,"OCIMENYL ACETATE","ESTER","","72214-23-4",NA,NA
"352",130675,"OCTAHYDRO COUMARIN","LACTONE","","4430-31-3",NA,NA
"353",131485,"OCTALACTONE DELTA","LACTONE","","698-76-0",NA,NA
"354",105565,"OCTALACTONE GAMMA","LACTONE","","104-50-7",NA,NA
"355",638261,"OCTENOL-1,3","ALCOHOL","","3391-86-4",NA,NA
"356",131274,"OCTENYL ACETATE-1,3","ESTER","","2442-10-6",NA,NA
"357",611469,"OCTYL ACETATE-3 NAT.","ESTER","","4864-61-3",NA,NA
"358",131308,"OCTYL BUTYRATE","ESTER","","110-39-4",NA,NA
"359",107085,"OKOUMAL","ETHER","","131812-67-4",NA,NA
"360",198064,"ORANGE FLOWER ETHER","ETHER","","14576-08-0",NA,NA
"361",197014,"ORCINOL MONOMETHYL ETHER","PHENOL","S","3209-13-0",NA,NA
"362",131227,"ORIVONE","KETONE","","16587-71-6",NA,NA
"363",103451,"ORYCLON@ HC","ESTER","","32210-23-4",NA,NA
"364",103260,"OXYOCTALINE FORMATE","ESTER","","65405-72-3",NA,NA
"365",611471,"OZONIL","NITRILE","","22629-49-8",NA,NA
"366",690230,"PALISANDAL","ACETAL","","950-33-4",NA,NA
"367",690165,"PALISANDIN","ETHER","","2986-54-1",NA,NA
"368",100210,"PARMANYL¨","NITRILE","","142653-61-0",NA,NA
"369",600300,"PASSIFLORAN","KETONE","","136954-25-1",NA,NA
"370",164637,"PELARGONIC ACID","ACID","","112-05-0",NA,NA
"371",130058,"PENTANDIONE-2,3","KETONE","","600-14-6",NA,NA
"372",107343,"PEONILE","NITRILE","","10461-98-0",NA,NA
"373",179339,"PERANAT","ESTER","","90397-38-9",NA,NA
"374",179349,"PETIOLE","ETHER","","68039-47-4",NA,NA
"375",698337,"PHELLANDREN FRACTION EX EUCALYPTUS OIL","HYDROCARBON","","4221-98-1",NA,NA
"376",105991,"PHENIRAT¨","ESTER","","103-60-6",NA,NA
"377",198070,"PHENOXANOL","ALCOHOL","","55066-48-3",NA,NA
"378",130089,"PHENOXYETHYL ALCOHOL","ALCOHOL","","122-99-6",NA,NA
"379",660354,"PHENYLACETALDEHYDE","ALDEHYDE","","122-78-1",NA,NA
"380",660345,"PHENYLACETALDEHYDE DIMETHYL ACETAL","ACETAL","","101-48-4",NA,NA
"381",600028,"PHENYLACETALDEHYDE GLYCERYLACETAL","ACETAL","","29895-73-6",NA,NA
"382",621268,"PHENYLACETIC ACID","ACID","S","103-82-2",NA,NA
"383",130744,"PHENYLETHYL ALCOHOL","ALCOHOL","","60-12-8",NA,NA
"384",103392,"PHENYLETHYL BUTYRATE","ESTER","","103-52-6",NA,NA
"385",660361,"PHENYLETHYL CINNAMATE CRYST.","ESTER","S","103-53-7",NA,NA
"386",103258,"PHENYLETHYL DIMETHYL CARBINOL","ALCOHOL","","103-05-9",NA,NA
"387",103614,"PHENYLETHYL FORMATE","ESTER","","104-62-1",NA,NA
"388",103934,"PHENYLETHYL ISOBUTYRATE","ESTER","","103-48-0",NA,NA
"389",131090,"PHENYLETHYL ISOTHIOCYANATE","ESTER","","2257-09-2",NA,NA
"390",103935,"PHENYLETHYL ISOVALERATE","ESTER","","140-26-1",NA,NA
"391",103222,"PHENYLETHYL METHYL ETHER","ETHER","","3558-60-9",NA,NA
"392",103936,"PHENYLETHYL PHENYLACETATE","ESTER","","102-20-5",NA,NA
"393",658982,"PHENYLETHYL SALICYLATE","ESTER","S","87-22-9",NA,NA
"394",660165,"PHENYLPROPYL ALCOHOL","ALCOHOL","","122-97-4",NA,NA
"395",130412,"PHENYLPROPYL ALDEHYDE","ALDEHYDE","","104-53-0",NA,NA
"396",160223,"PINENE ALPHA LAEVO NAT.","HYDROCARBON","","80-56-8",NA,NA
"397",130122,"PINENE BETA NAT.","HYDROCARBON","","127-91-3",NA,NA
"398",103237,"PINOACET ALDEHYDE","ALDEHYDE","","33885-51-7",NA,NA
"399",103374,"PLICATONE","KETONE","","41724-19-0",NA,NA
"400",659616,"POIVROL¨","ESTER","","68966-86-9",NA,NA
"401",106142,"POLYSANTOL","ALCOHOL","","107898-54-4",NA,NA
"402",904691,"POLYSANTOL (MYSANTOL)","ALCOHOL","","107898-54-4",NA,NA
"403",103843,"PRECYCLEMONE B","ALDEHYDE","","52474-60-9","52475-86-2",NA
"404",601331,"PRENYL ACETATE","ESTER","","1191-16-8",NA,NA
"405",103483,"PRENYL SALICYLATE","ESTER","","68555-58-8",NA,NA
"406",656079,"PROFARNESAL","ALDEHYDE","","54082-68-7",NA,NA
"407",660137,"PROJASMONE P","KETONE","","137-03-1",NA,NA
"408",131115,"PROPENYL GUAETHOL","PHENOL","S","94-86-0",NA,NA
"409",131301,"PROPYL ACETATE","ESTER","","109-60-4",NA,NA
"410",160221,"PROPYLENE GLYCOL-1,2","ALCOHOL","","57-55-6",NA,NA
"411",611421,"PYROPRUNAT","ESTER","","68039-73-6",NA,NA
"412",198028,"RESEDA BODY","ACETAL","","67633-94-7",NA,NA
"413",690520,"RESEDAFOL","ACETAL","","7493-57-4",NA,NA
"414",658742,"RESEDYLACETAL","ACETAL","","10022-28-3",NA,NA
"415",106108,"RHOLIATE","ESTER","","93981-50-1",NA,NA
"416",198039,"RHUBOFIX","ETHER","","41816-03-9",NA,NA
"417",907625,"ROMANDOLIDE","ESTER","","236391-76-7",NA,NA
"418",100060,"ROMASCONE","ESTER","","81752-87-6",NA,NA
"419",130770,"ROSACETATE","ESTER","S","90-17-5",NA,NA
"420",600064,"ROSAPHEN¨","ALCOHOL","","25634-93-9",NA,NA
"421",106268,"ROSE OXIDE HIGH CIS","ETHER","","16409-43-1",NA,NA
"422",130780,"ROSE OXIDE L","ETHER","","16409-43-1",NA,NA
"423",107077,"ROSYRANE SUPER","ETHER","","60335-71-9",NA,NA
"424",621361,"SAFRALEINE","KETONE","","54440-17-4",NA,NA
"425",165208,"SAFRANAL","ALDEHYDE","","116-26-7",NA,NA
"426",107396,"SAGECETE","ESTER","","131766-73-9",NA,NA
"427",105188,"SANDAL MYSORE CORE","ALCOHOL","","28219-60-5",NA,NA
"428",131502,"SANDALORE","ALCOHOL","","65113-99-7",NA,NA
"429",600001,"SANDRANOL¨","ALCOHOL","","28219-61-6",NA,NA
"430",172313,"SANJINOL","ALCOHOL","","28219-61-6",NA,NA
"431",104316,"SCENTENAL","ALDEHYDE","","86803-90-9",NA,NA
"432",100199,"SILVIAL","ALDEHYDE","","6658-48-6",NA,NA
"433",684804,"SPIROGALBANONE PURE","KETONE","","224031-70-3","224031-71-4",NA
"434",131157,"STEMONE","OXIME","","22457-23-4",NA,NA
"435",611357,"STYRALYL ACETATE","ESTER","","93-92-5",NA,NA
"436",903938,"STYRALYL ACETATE FG","ESTER","","93-92-5",NA,NA
"437",660414,"STYRALYL ALCOHOL","ALCOHOL","","98-85-1",NA,NA
"438",611467,"STYRALYL PROPIONATE","ESTER","","120-45-6",NA,NA
"439",131449,"SULFUROL","HETEROCYCLIC","","137-00-8",NA,NA
"440",100072,"SULTANENE¨","ESTER","","15848-49-4",NA,NA
"441",902958,"SYMFRESH¨ NX","ESTER","","25265-77-4",NA,NA
"442",148469,"SYMROSE¨","ALCOHOL","","830322-14-0",NA,NA
"443",109818,"SYMROXANE","ACETAL","","393517-28-7","393517-29-8","676125-00-1"
"444",104312,"SYVERTAL","ACETAL","","4359-47-1",NA,NA
"445",103229,"TABANON","KETONE","","13215-88-8","163440-97-9",NA
"446",659672,"TABANON COEUR","KETONE","","13215-88-8","163440-97-9",NA
"447",195795,"TANGERINOL","ESTER","","3239-35-8",NA,NA
"448",131002,"TERPINENE GAMMA","HYDROCARBON","","99-85-4",NA,NA
"449",600044,"TERPINEOL  RECT.","ALCOHOL","","8000-41-7",NA,NA
"450",130817,"TERPINEOL ALPHA","ALCOHOL","","98-55-5",NA,NA
"451",130813,"TERPINEOL PURE","ALCOHOL","","8000-41-7",NA,NA
"452",660425,"TERPINOLENE","HYDROCARBON","","586-62-9",NA,NA
"453",130837,"TERPINYL ACETATE","ESTER","","8007-35-0",NA,NA
"454",600035,"TERRANOL¨","ALCOHOL","S","57566-26-4","88644-30-8",NA
"455",130752,"TETRAHYDRO CITRAL","ALDEHYDE","","5988-91-0",NA,NA
"456",130990,"TETRAHYDRO LINALOOL","ALCOHOL","","78-69-3",NA,NA
"457",105480,"TETRAHYDRO LINALYL ACETATE","ESTER","","20780-48-7",NA,NA
"458",131098,"TETRAHYDRO METHYL QUINOLINE PARA","AMINE","","91-61-2",NA,NA
"459",107617,"TETRAHYDRO MYRCENOL","ALCOHOL","","18479-57-7",NA,NA
"460",106217,"TETRAHYDROGERANIOL","ALCOHOL","","106-21-8",NA,NA
"461",131525,"TETRAMETHYL PYRAZINE-2,3,5,6","HETEROCYCLIC","S","1124-11-4",NA,NA
"462",131431,"THIOMENTHANONE-8,3","KETONE","","38462-22-5",NA,NA
"463",162075,"TOLYLALDEHYDE PARA FG","ALDEHYDE","","104-87-0",NA,NA
"464",600745,"TOSCANOL","ETHER","","16510-27-3",NA,NA
"465",104304,"TRIDECEN NITRILE-2","NITRILE","","22629-49-8",NA,NA
"466",131224,"TRIDECENAL TRANS-2","ALDEHYDE","","7774-82-5",NA,NA
"467",104325,"TRIFERNAL","ALDEHYDE","","16251-77-7",NA,NA
"468",131382,"TRIMOFIX O","KETONE","","144020-22-4",NA,NA
"469",964390,"TRIMOFIX O BM","KETONE","","144020-22-4",NA,NA
"470",182461,"UNDECALACTONE DELTA","LACTONE","","710-04-3",NA,NA
"471",131375,"UNDECENAL TRANS-2","ALDEHYDE","","2463-77-6","53448-07-0",NA
"472",130878,"UNDECYLENIC ALCOHOL","ALCOHOL","","112-43-6",NA,NA
"473",113552,"VALEROLACTONE GAMMA","LACTONE","","108-29-2",NA,NA
"474",131423,"VELOUTONE","KETONE","","65443-14-3",NA,NA
"475",195933,"VELVIONE","KETONE","","37609-25-9",NA,NA
