"","Material","Name..global...english","Chemical.group","Phase","CAS.no._1","CAS.no._2","CAS.no._3"
"123",131022,"CRESYL PHENYL ACETATE PARA","ESTER","S","101-94-0",NA,NA
"124",131180,"CUMINIC ALCOHOL","ALCOHOL","","536-60-7",NA,NA
"125",164812,"CUMINIC ALDEHYDE","ALDEHYDE","","122-03-2",NA,NA
"126",659576,"CUMINIC NITRILE","NITRILE","","13816-33-6",NA,NA
"127",103303,"CYCLABUTE","ESTER","","67634-20-2","68039-39-4",NA
"128",130935,"CYCLAMEN ALDEHYDE","ALDEHYDE","","103-95-7",NA,NA
"129",903737,"CYCLEMAX","ALDEHYDE","","7775-00-0",NA,NA
"130",131325,"DIBUTYL SULFIDE","ETHER","","544-40-1",NA,NA
"131",660556,"DIHYDRO ANETHOLE","ETHER","","104-45-0",NA,NA
"132",103574,"DIHYDRO IONONE BETA","KETONE","","17283-81-7",NA,NA
"133",130253,"DIHYDRO JASMONE","KETONE","","1128-08-1",NA,NA
"134",103011,"DIHYDRO MYRCENOL","ALCOHOL","","18479-58-8",NA,NA
"135",601343,"DIHYDRO MYRCENYL ACETATE","ESTER","","53767-93-4",NA,NA
"136",600515,"DIHYDROAMBRETTOLIDE","LACTONE","S","109-29-5",NA,NA
"137",131143,"DIHYDROCARVYL ACETATE","ESTER","","20777-49-5",NA,NA
"138",130941,"DIMETHYL ANTHRANILATE EXTRA","ESTER","","85-91-6",NA,NA
"139",130255,"DIMETHYL BENZYL CARBINOL","ALCOHOL","","100-86-7",NA,NA
"140",130254,"DIMETHYL BENZYL CARBINYL ACETATE","ESTER","","151-05-3",NA,NA
"141",903930,"DIMETHYL BENZYL CARBINYL ACETATE FG","ESTER","","151-05-3",NA,NA
"142",903994,"DIMETHYL BENZYL CARBINYL BUTYRAT FG","ESTER","","10094-34-5",NA,NA
"143",104283,"DIMETHYL BENZYL CARBINYL BUTYRATE","ESTER","","10094-34-5",NA,NA
"144",131314,"DIMETHYL ETHYL PYRAZINE-3,5(6),2","HETEROCYCLIC","","27043-05-6",NA,NA
"145",103067,"DIMETHYL HYDROQUINONE","ETHER","S","150-78-7",NA,NA
"146",902804,"DIMETHYL OCTENONE","KETONE","","2550-11-0",NA,NA
"147",699708,"DIOCTYL ADIPATE","ESTER","","103-23-1",NA,NA
"148",658651,"DIOLA","ETHER","","4747-07-3",NA,NA
"149",104099,"DIPHENYL METHANE","HYDROCARBON","","101-81-5",NA,NA
"150",130273,"DIPHENYL OXIDE","ETHER","","101-84-8",NA,NA
"151",160102,"DIPROPYLENE GLYCOL","ALCOHOL","","25265-71-8",NA,NA
"152",657948,"DODECADIENAL 2,6","ALDEHYDE","","21662-13-5",NA,NA
"153",130286,"DODECALACTONE DELTA","LACTONE","","713-95-1",NA,NA
"154",690750,"DODECALACTONE GAMMA","LACTONE","","2305-05-7",NA,NA
"155",131469,"DODECENAL TRANS-2","ALDEHYDE","","20407-84-5",NA,NA
"156",178583,"DOWANOL DPM","ETHER","","34590-94-8",NA,NA
"157",107231,"DOWANOL TPM","ETHER","","25498-49-1",NA,NA
"158",198072,"DUPICAL","ALDEHYDE","","30168-23-1",NA,NA
"159",100202,"DYNASCONE","KETONE","","56973-85-4",NA,NA
"160",105703,"EBANOL","ALCOHOL","","67801-20-1",NA,NA
"161",103853,"ELINTAL FORTE","ACETAL","","40910-49-4",NA,NA
"162",130298,"ETHYL ACETATE","ESTER","","141-78-6",NA,NA
"163",164019,"ETHYL ACETOACETATE","ESTER","","141-97-9",NA,NA
"164",105384,"ETHYL BENZOYL ACETATE","ESTER","","94-02-0",NA,NA
"165",660448,"ETHYL CINNAMATE","ESTER","","103-36-6",NA,NA
"166",131245,"ETHYL DECADIENOATE TRANS CIS-2,4","ESTER","","3025-30-7",NA,NA
"167",131130,"ETHYL ISOBUTYRATE","ESTER","","97-62-1",NA,NA
"168",130601,"ETHYL LACTATE","ESTER","","97-64-3",NA,NA
"169",104760,"ETHYL LAURATE","ESTER","","106-33-2",NA,NA
"170",131323,"ETHYL LINALOOL","ALCOHOL","","10339-55-6",NA,NA
"171",105874,"ETHYL LINALYL ACETATE","ESTER","","61931-80-4",NA,NA
"172",131471,"ETHYL LINOLEATE","ESTER","","544-35-4",NA,NA
"173",116165,"ETHYL MALTOL","KETONE","S","4940-11-8",NA,NA
"174",611402,"ETHYL METHYL BUTYRATE-2","ESTER","","7452-79-1",NA,NA
"175",105951,"ETHYL PHENYL ACETATE","ESTER","","101-97-3",NA,NA
"176",103250,"ETHYL PROPIONATE","ESTER","","105-37-3",NA,NA
"177",131421,"ETHYL RICINOLEATE","ESTER","","55066-53-0",NA,NA
"178",105543,"ETHYL SALICYLATE","ESTER","","118-61-6",NA,NA
"179",130141,"ETHYL VANILLIN","ALDEHYDE","S","121-32-4",NA,NA
"180",130966,"ETHYLENE BRASSYLATE","ESTER","","105-95-3",NA,NA
"181",608025,"EUGENOL NAT.","PHENOL","","97-53-0",NA,NA
"182",131135,"EUGENYL ACETATE","ESTER","","93-28-7",NA,NA
"183",131176,"EVERNYL","ESTER","S","4707-47-5",NA,NA
"184",101800,"EXALTENONE 942008","KETONE","S","14595-54-1","35720-57-1",NA
"185",120648,"EXOVERT HIGH IMPACT","ESTER","","37172-53-5",NA,NA
"186",656019,"FARENAL¨","ALDEHYDE","","141-13-9",NA,NA
"187",130329,"FARNESOL","ALCOHOL","","4602-84-0",NA,NA
"188",131317,"FENCHOL","ALCOHOL","S","1632-73-1",NA,NA
"189",130337,"FENCHYL ACETATE","ESTER","","13851-11-1",NA,NA
"190",690986,"FILBERTONE","KETONE","","81925-81-7",NA,NA
"191",100188,"FLEURANIL","NITRILE","","134123-93-6",NA,NA
"192",643592,"FLORAL SUPER","ALDEHYDE","","71077-31-1",NA,NA
"193",106597,"FLORHYDRAL","ALDEHYDE","","125109-85-5",NA,NA
"194",690307,"FLOROPAL","ACETAL","","5182-36-5",NA,NA
"195",103519,"FLOROSA","ALCOHOL","","63500-71-0",NA,NA
"196",903971,"FLOROSA BM / PYRANOL","ALCOHOL","","63500-71-0",NA,NA
"197",103822,"FRAGOLANE¨","ESTER","","6290-17-1",NA,NA
"198",131479,"FRAMBINON¨ METHYL ETHER","KETONE","","104-20-1",NA,NA
"199",103208,"FREESIOL / CORPS 119","ALCOHOL","","13254-34-7",NA,NA
"200",600165,"FRESCOLAT¨ MGA","ACETAL","","63187-91-7",NA,NA
"201",131156,"FRESCOMENTHE","KETONE","","14765-30-1",NA,NA
"202",639794,"FRUCTATE¨","ESTER","","155514-23-1",NA,NA
"203",106156,"FRUITATE","ESTER","","129520-41-8","80623-07-0","80657-64-3"
"204",611400,"FRUTINAT","ESTER","","35206-51-0",NA,NA
"205",172379,"FRUTONILE","NITRILE","","69300-15-8",NA,NA
"206",600291,"FURAMINTON/TONKALACTONEª","LACTONE","","65817-24-5",NA,NA
"207",131225,"FURANEOL","ALCOHOL","S","3658-77-3",NA,NA
"208",130354,"FURFURYL MERCAPTAN","ESTER","","98-02-2",NA,NA
