Material,Name,Chemical.group,Phase,CAS,CASNO2,CASNO3,CID,csid
105601,GYRANE,ETHER,,24237-00-1,,,91147,82300
103828,HELIONAL,ALDEHYDE,,1205-17-0,,,64805,58337
130382,HELIOTROPIN,ALDEHYDE,S,120-57-0,,,8438,13859497
106228,HELIOTROPIN/PIPERONAL NAT.,ALDEHYDE,S,120-57-0,,,8438,13859497
104002,HELIOTROPYL ACETATE,ESTER,,326-61-4,,,9473,9101
600543,HELVETOLIDE,ESTER,,141773-73-1,,,16063567,11227548
130986,HEPTALACTONE GAMMA,LACTONE,,105-21-5,,,7742,7456
131184,HEPTANAL DIETHYL ACETAL,ACETAL,,688-82-4,,,69644,62845
103261,HERBAC,KETONE,,25304-14-7,,,91388,82521
103247,HERBAFLORAT,ESTER,,5413-60-5,,,25234180,99320
195923,HERBANATE,ESTER,,116126-82-0,,,66795588,23349264
131523,HERBOXAN,ACETAL,,54546-26-8,,,94569,85337
131337,HERBYL PROPIONATE,ESTER,,17511-60-3,68912-13-0,,102601728,96079
103500,HERCOLYN D-E,ESTER,,8050-15-5,,,,
130172,HEXALACTONE GAMMA,LACTONE,,695-06-7,,,12756,12232
131080,HEXENAL TRANS-2,ALDEHYDE,,6728-26-3,,,5281168,4444608
130870,HEXENOL TRANS-2,ALCOHOL,,928-95-0,,,5318042,4476685
130041,HEXYL CINNAMIC ALDEHYDE ALPHA,ALDEHYDE,,101-86-0,165184-98-5,,1550884,1267362
131266,HEXYL ISOBUTYRATE,ESTER,,,,,16872,15988
198030,HYACINTH BODY,ACETAL,,16930-96-4,,,102849,92907
130391,HYDRATROPIC ALDEHYDE,ALDEHYDE,,93-53-8,,,7146,6879
131183,HYDRATROPIC ALDEHYDE DIMETH.ACET,ACETAL,,90-87-9,,,62336,56128
103026,HYDROXY CITRONELLAL,ALDEHYDE,,107-75-5,,,7888,7600
104086,HYDROXY CITRONELLAL DIMET-ACETAL,ACETAL,,141-92-4,,,8863,8530
105027,HYDROXY CITRONELLOL,ALCOHOL,,107-74-4,,,249494,218463
107288,HYDROXYAMBRAN,ALCOHOL,,118562-73-5,,,9815980,7991730
103493,ISOAMYL ACETATE NAT.,ESTER,,123-92-2,,,31276,29016
164115,ISOAMYL ALCOHOL,ALCOHOL,,123-51-3,,,31260,29000
613013,ISOAMYL BENZOATE,ESTER,,94-46-2,,,7193,6925
611037,ISOAMYL ISOVALERATE,ESTER,,659-70-1,,,12613,12093
104578,ISOAMYL PHENYL ACETATE,ESTER,,102-19-2,,,7600,7318
104141,ISOAMYL SALICYLATE,ESTER,,87-20-7,,,6874,6612
103263,ISOBORNEOL,ALCOHOL,,124-76-5,,,6321405,4882019
130453,ISOBORNYL ACETATE,ESTER,,125-12-2,,,6950273,5323219
184367,ISOBORNYL CYCLOHEXANOL,ALCOHOL,,3407-42-9,,,67957374,23498811
131237,ISOBORNYL PROPIONATE,ESTER,,2756-56-1,,,23617864,80593
104756,ISOBUTYL ACETATE,ESTER,,110-19-0,,,8038,7747
660181,ISOBUTYL CINNAMATE,ESTER,,122-67-8,,,778574,680686
105390,ISOBUTYL ISOBUTYRATE,ESTER,,97-85-8,,,7351,7073
131239,"ISOBUTYL METHOXYPYRAZINE-3,2",HETEROCYCLIC,,24683-00-9,,,32594,30208
105174,ISOBUTYL PHENYLACETATE,ESTER,,102-13-6,,,60998,54959
103831,ISOBUTYL QUINOLINE,HETEROCYCLIC,,68198-80-1,,,109640,98541
104354,ISOBUTYL QUINOLINE DL 100%,HETEROCYCLIC,,65442-31-1,,,103401,93359
105683,ISOBUTYL SALICYLATE,ESTER,,87-19-4,,,6873,6611
131275,ISODAMASCONÎ,KETONE,,39872-57-6,,,57468287,52563506
103296,ISODODECANE,HYDROCARBON,,31807-55-3,93685-81-5,,23459,21934
104768,ISOEUGENOL,PHENOL,,97-54-1,,,853433,21106129
103615,ISOEUGENYL ACETATE,ESTER,S,93-29-8,,,7137,6870
608049,ISOEUGENYL METHYL ETHER,ETHER,,93-16-3,,,637776,553362
104012,ISOJASMONE B 11,KETONE,,95-41-0,,,66768,60134
659667,ISOLONGIFOLANON COEUR,KETONE,,23787-90-8,29461-14-1,,21116680,19973105
600359,ISOMUSCONEÎ,KETONE,,2550-52-9,,,75695,68213
164854,ISONONANOL,ALCOHOL,,3452-97-9,,,18938,21428736
131210,ISONONYL ALDEHYDE S,ALDEHYDE,,5435-64-3,,,21574,20276
103315,ISOOCTANONE,KETONE,,541-85-5,,,7822,7534
105516,ISOPENTYRATE,ESTER,,80118-06-5,,,3018907,2286321
131418,ISOPHYTOL,ALCOHOL,,505-32-8,,,10453,10021
103452,ISOPROPYL CYCLOHEXANOL,ALCOHOL,,,,,20739,19528
131390,"ISOPROPYL METHOXYPYRAZINE-2,3",HETEROCYCLIC,,25773-40-4,,,33166,30649
132687,ISOPROPYL METHYLBUTYRATE-2,ESTER,,66576-71-4,,,522214,455530
131215,ISOPROPYL QUINOLINE,HETEROCYCLIC,,135-79-5,,,67285,60617
601181,ISOPULEGOL FRACTION EX EUCALYPTUS OIL,ALCOHOL,,89-79-2,,,170833,149356
131332,ISORALDEINE 70,KETONE,,1335-46-2,,,5371084,4521710
103928,ISORALDEINE 95,KETONE,,127-51-5,,,5372174,4522510
600000,ISOTRIDECYL ACETATE,ESTER,,69103-23-7,,,112239,100612
164424,ISOVALERIC ACID,ACID,,503-74-2,,,10430,10001
164421,ISOVALERIC ALDEHYDE,ALDEHYDE,,590-86-3,,,11552,11065
100216,JACINTHAFLORÎ,ACETAL,,33941-99-0,,,118119,105556
690965,JASMAPRUNAT,ESTER,,,,,80865,72995
104686,JASMIN LACTONE,LACTONE,,25524-95-2,,,5352626,4509494
613148,JASMOL,ALCOHOL,,92368-90-6,,,64916,58445
104235,JASMOLACTONE CNC,LACTONE,,32764-98-0,,,6438319,4942802
131338,JASMOPOL AC1300,ESTER,,37172-53-5,,,162249,142479
103623,JASMOPYRANE,ESTER,,18871-14-2,,,86799,78297
127988,JAVANOL,ALCOHOL,,198404-98-7,,,22096564,13658169
106255,JEECOL ISA / ISOSTEARYL ALCOHOL,ALCOHOL,,27458-93-1,,,62825,56559
131222,JESSEMAL,ESTER,,38285-49-3,,,161960,142247
140419,KEPHALIS,ETHER,,36306-86-2,36306-87-3,,118291,105721
131367,METHYL GERANIATE,ESTER,,1189-09-9,,,5365910,4517852
103396,METHYL GUAIACOL-4,PHENOL,,93-51-6,,,7144,21105936
130576,"METHYL HEPTENONE-6,5,2",KETONE,,110-93-0,,,9862,9478
103675,METHYL IONONE BETA COEUR (66559),KETONE,,1335-46-2,,,5371084,4521710
104250,METHYL IONONE GAMMA COEUR,KETONE,,127-51-5,,,5372174,4522510
103305,METHYL LAVENDER KETONE,KETONE,,67633-95-8,67801-33-6,,105510,95149
106104,"METHYL METHOXY BUTANOL-3,3",ALCOHOL,,56539-66-3,,,62118,55953
611401,METHYL METHYLBUTYRATE-2,ESTER,,868-57-5,,,13357,12788
660240,METHYL NAPHTHYL KETONE BETA CRYST,KETONE,S,93-08-3,,,7122,6855
131520,"METHYL PHENYLHEXENAL TRANS-5,2,2",ALDEHYDE,,21834-92-4,,,5463934,4576448
131424,METHYL TUBERATE PURE 100%,LACTONE,,33673-62-0,,,97707,88186
660564,METHYL UNDECYLENATE,ESTER,,111-81-9,,,8138,7846
164487,METHYLBUTYRIC ACID-2,ACID,,116-53-0,,,8314,8012
131403,"METHYLPENTENOIC ACID-2,2",ACID,,3142-72-1,,,5365909,17434
142048,MINTONAT,ESTER,,67859-96-5,,,106917,96208
600092,MUGETANOL,ALCOHOL,,63767-86-2,,,114233,102297
659479,MUGUETALCOHOL,ALCOHOL,,13351-61-6,,,83367,75226
195930,MUSCENONE,KETONE,,63314-79-4,,,54116156,57523122
131545,MUSCONE,KETONE,,541-91-3,,,10947,10483
197006,MYRALDYL ACETATE,ESTER,,72403-67-9,,,73556746,57261593
104032,MYRCENYL ACETATE,ESTER,,1118-39-4,,,14235,13599
104663,MYROXYDE,ETHER,,69103-20-4,,,6538431,5021076
659673,MYSORE ACETATE,ESTER,,30772-69-1,,,161675,141998
103836,NECTARYL,KETONE,,95962-14-4,,,175661,153032
622501,NEO HELIOPANÎ 357,KETONE,S,70356-09-1,,,51040,46261
660523,NEO HELIOPANÎ AV,KETONE,,5466-77-3,,,5355130,4511170
116210,NEO HELIOPANÎ BB,KETONE,S,131-57-7,,,4632,4471
131494,NEO HELIOPANÎ OS,KETONE,,118-60-5,,,8364,8061
690451,NEOCYCLO CITRAL,ALDEHYDE,,1335-66-6,,,16204527,21171842
611460,NEONONYL ACETATE,ESTER,,58430-94-7,,,42745,38985
103885,NEROL 900,ALCOHOL,,106-25-2,,,643820,558917
605361,NEROL 900 FG,ALCOHOL,,106-25-2,,,643820,558917
130649,NEROLIDOL,ALCOHOL,,7212-44-4,,,5284507,4447568
130659,NEROLIN BROMELIA,ETHER,S,93-18-5,,,7129,6862
665020,NEROLIN YARA YARA CRIST.,ETHER,S,93-04-9,,,7119,6852
600321,NEROLIONE,KETONE,S,23911-56-0,,,2507689,1869668
106244,NERYL ACETATE,ESTER,,141-12-8,,,1549025,1266018
131363,"NONADIENAL TRANS,CIS-2,6",ALDEHYDE,,557-48-2,,,643731,558840
131091,"NONADIENOL-2,6",ALCOHOL,,28069-72-9,,,5362833,4515298
131336,NONALACTONE DELTA,LACTONE,,3301-94-8,,,18698,17658
131394,NONENAL CIS-6,ALDEHYDE,,2277-19-2,,,5362720,4515200
113522,NONENAL TRANS-2,ALDEHYDE,,18829-56-6,,,5283335,4446456
131395,NONENOL CIS-6,ALCOHOL,,35854-86-5,,,5362811,4515276
130246,NOPYL ACETATE,ESTER,,128-51-8,,,929337,809956
131070,OCIMENYL ACETATE,ESTER,,72214-23-4,,,6112709,4813514
130675,OCTAHYDRO COUMARIN,LACTONE,,4430-31-3,,,20487,19294
131485,OCTALACTONE DELTA,LACTONE,,698-76-0,,,12777,12252
105565,OCTALACTONE GAMMA,LACTONE,,104-50-7,,,7704,7418
