AKOS smile,CID,CanonicalSMILES,density g/cm3,MW,AKOS,weight (g),stored
CCCCOC(=O)CCCCCCCCC=C,61027,CCCCOC(=O)CCCCCCCCC=C,,240.387,AKOS016010129,,
CCCOC(=O)c1ccc(cc1)B(O)O,23005364,B(C1=CC=C(C=C1)C(=O)OCCC)(O)O,,208.02,AKOS004113802,,
CCCOC(=O)c1cccc(c1)B(O)O,23005363,B(C1=CC(=CC=C1)C(=O)OCCC)(O)O,,208.02,AKOS004113801,,
CCOC(=O)C(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2737219,CCOC(=O)C(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,474.141,AKOS007930408,,
CCOC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,76555,CCOC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,442.124,AKOS007930416,,
CCOC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,526468,CCOC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,392.116,AKOS007930396,,
CCOC(=O)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2737218,CCOC(=O)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,374.126,AKOS003789060,,
CCOC(=O)c1c(C)cccc1F,46311376,CCOC(=O)C1=C(C=CC=C1F)C,,182.194,AKOS022176945,,
CCOC(=O)c1c(F)cccc1F,519631,CCOC(=O)C1=C(C=CC=C1F)F,,186.158,AKOS008947914,,
CCOC(=O)c1cc(C)ccc1I,44118833,CCOC(=O)C1=C(C=CC(=C1)C)I,,290.1,AKOS025403205,,
CCOC(=O)c1cc(F)c(c(c1)F)F,46311439,CCOC(=O)C1=CC(=C(C(=C1)F)F)F,,204.148,AKOS012488407,,
CCOC(=O)c1ccc(c(c1)C)I,70333377,CCOC(=O)C1=CC(=C(C=C1)I)C,,290.1,AKOS025402817,,
CCOC(=O)c1ccc(c(c1)F)C,13489923,CCOC(=O)C1=CC(=C(C=C1)C)F,,182.194,AKOS009147067,,
CCOC(=O)c1ccc(c(c1F)F)F,594559,CCOC(=O)C1=C(C(=C(C=C1)F)F)F,,204.148,AKOS023547264,,
CCOC(=O)c1ccc(cc1)C,66743,CCOC(=O)C1=CC=C(C=C1)C,,164.204,AKOS005198691,,
CCOC(=O)c1ccc(cc1)C(=O)c1ccccc1,570996,CCOC(=O)C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,,254.285,AKOS016017798,,
CCOC(=O)c1ccc(cc1)C(=O)CCc1cc(C)cc(c1)C,24726494,CCOC(=O)C1=CC=C(C=C1)C(=O)CCC2=CC(=CC(=C2)C)C,,310.393,AKOS016022200,,
CCOC(=O)c1ccc(cc1)C(=O)CCc1ccc(cc1)C,24725724,CCOC(=O)C1=CC=C(C=C1)C(=O)CCC2=CC=C(C=C2)C,,296.366,AKOS016021549,,
CCOC(=O)c1ccc(cc1)C(=O)CCc1cccc(c1)C,24725673,CCOC(=O)C1=CC=C(C=C1)C(=O)CCC2=CC=CC(=C2)C,,296.366,AKOS016021043,,
CCOC(=O)c1ccc(cc1)C(=O)CCc1ccccc1,24725578,CCOC(=O)C1=CC=C(C=C1)C(=O)CCC2=CC=CC=C2,,282.339,AKOS016021018,,
CCOC(=O)c1ccc(cc1)C#C,15540683,CCOC(=O)C1=CC=C(C=C1)C#C,,174.199,AKOS015888301,,
CCOC(=O)c1ccc(cc1)C#Cc1ccccc1,4654671,CCOC(=O)C1=CC=C(C=C1)C#CC2=CC=CC=C2,,250.297,AKOS016007158,,
CCOC(=O)c1ccc(cc1)C=O,80498,CCOC(=O)C1=CC=C(C=C1)C=O,,178.187,AKOS006240956,,
