"","AKOS.smile","CID","CanonicalSMILES","density.g.cm3","MW","AKOS","weight..g.","stored"
"360","OC1CCC2([C@@](C1)(C)CCC1C2CCC2(C1CCC2(O)C(O)C)C)C",2748240,"CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O",,350.543,"004903788",,
"362","OC1CCC2(C(C1)CCC1C2CCC2(C1CC[C@@]2(O)C(O)C)C)C",2748241,"CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O)O",,336.516,"004903793",,
"74","CCC(C1CCCCC1)(C(CCC)O)O",2749621,"CCCC(C(CC)(C1CCCCC1)O)O",,214.349,"004905073",,
"398","OCCC1C(O)C2(C(C1CC2)(C)C)C",2750154,"CC1(C2CCC1(C(C2CCO)O)C)C",,198.306,"004905463",,
"305","O=C(CCc1ccccc1)/C=C/OC(=O)c1ccccc1",5705114,"C1=CC=C(C=C1)CCC(=O)C=COC(=O)C2=CC=CC=C2",,280.323,"004905600",,
"388","OCC1C(C)CCC(C1=O)C(C)C",2750470,"CC1CCC(C(=O)C1CO)C(C)C",,184.279,"004905651",,
"46","CC(CCOC(=O)c1ccccc1)CCCC(=C)C",112051,"CC(CCCC(=C)C)CCOC(=O)C1=CC=CC=C1",,260.377,"004905707",,
"298","O=C(c1ccccc1)OC/C=C/c1ccccc1",5705112,"C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2",,238.286,"004905721",,
"302","O=C(c1ccccc1)OCCC(c1ccccc1)OC(=O)c1ccccc1",2750414,"C1=CC=C(C=C1)C(CCOC(=O)C2=CC=CC=C2)OC(=O)C3=CC=CC=C3",,360.409,"004905729",,
"376","OCC(C1(C)CCC(C1(C)C)C)O",2750747,"CC1CCC(C1(C)C)(C)C(CO)O",,186.295,"004905936",,
"389","OCC1C(CCC(C1=O)C)C(C)C",2750703,"CC1CCC(C(C1=O)CO)C(C)C",,184.279,"004905948",,
"383","OCC1(C)CCC(C1(C)C)C",2750726,"CC1CCC(C1(C)C)(C)CO",,156.269,"004906034",,
"80","CCC1(O)CCCC(C1)C",2750694,"CCC1(CCCC(C1)C)O",,142.242,"004906078",,
"79","CCC1(O)CC(CCC1C)C(C)C",2750695,"CCC1(CC(CCC1C)C(C)C)O",,184.323,"004906087",,
"38","CC(C1CCC(C(C1)O)C)C",86850,"CC1CCC(CC1O)C(C)C",,156.269,"004906088",,
"390","OCC1CC2(C(C1CC2)(C)C)C",2750898,"CC1(C2CCC1(CC2CO)C)C",,168.28,"004906174",,
"17","C/C(=C\C=C)/CO",5705553,"CC(=CC=C)CO",,98.145,"004907369",,
"307","O=C1OC(/C=C/c2ccccc2)Cc2c1cccc2",5705611,"C1C(OC(=O)C2=CC=CC=C21)C=CC3=CC=CC=C3",,250.297,"004907614",,
"41","CC(CCC[C@@H]([C@H]1CCC2[C@]1(C)CCC1C2CC[C@@H]2[C@]1(C)CC[C@@H](C2)O)C)C",2754261,"CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C",,388.68,"004909035",,
"85","CCCC(C(C(O)C)C)O",248872,"CCCC(C(C)C(C)O)O",,146.23,"004909536",,
"381","OCC=CC#CCC",2755044,"CCC#CC=CCO",,110.156,"004909686",,
"57","CC1=CCC[C@H](C([C@@H]1O)(C)C)O",2755160,"CC1=CCCC(C(C1O)(C)C)O",,170.252,"004909714",,
"153","CCCCCCCCCCCC(=O)OC",8139,"CCCCCCCCCCCC(=O)OC",,214.349,"004910323",,
"158","CCCCCCCCCCCCCC(=O)OC",31284,"CCCCCCCCCCCCCC(=O)OC",,242.403,"004910358",,
"162","CCCCCCCCCCCCCCCC(=O)OCC",12366,"CCCCCCCCCCCCCCCC(=O)OCC",,284.484,"004910397",,
"212","CCOC(=O)c1ccccc1C(=O)C",2799640,"CCOC(=O)C1=CC=CC=C1C(=O)C",,192.214,"005070770",,
"243","COC(=O)/C=C/OC(=O)c1ccc(cc1)C",5910650,"CC1=CC=C(C=C1)C(=O)OC=CC(=O)OC",,220.224,"005093990",,
"241","ClCCOC(=O)c1ccccc1",95952,"C1=CC=C(C=C1)C(=O)OCCCl",,184.619,"005198580",,
"188","CCOC(=O)c1ccc(cc1)C",66743,"CCOC(=O)C1=CC=C(C=C1)C",,164.204,"005198691",,
"7","BrCCOC(=O)c1ccccc1",523090,"C1=CC=C(C=C1)C(=O)OCCBr",,229.073,"005203196",,
"399","OCCC1CCCCC1",20508,"C1CCC(CC1)CCO",,128.215,"005207193",,
"262","COC(=O)c1ccccc1c1ccccc1",9920766,"COC(=O)C1=CC=CC=C1C2=CC=CC=C2",,212.248,"005216884",,
"222","CCOC(=O)CCC(CCC(=O)OCC)F",28306167,"CCOC(=O)CCC(CCC(=O)OCC)F",,234.267,"005254800",,
"6","BrCCCCCCCCCCCCCCCC(=O)OC",2736822,"COC(=O)CCCCCCCCCCCCCCCBr",,349.353,"005254954",,
"277","O[C@@H]1C[C@@H]2C[C@H]([C@]1(C)O)C2(C)C",10219606,"CC1(C2CC1C(C(C2)O)(C)O)C",,170.252,"005256255",,
"295","O=C(c1cccc(c1)C(F)(F)F)OC(=O)c1cccc(c1)C(F)(F)F",599431,"C1=CC(=CC(=C1)C(F)(F)F)C(=O)OC(=O)C2=CC(=CC=C2)C(F)(F)F",,362.227,"005256936",,
"205","CCOC(=O)c1cccc(c1)C(F)(F)F",144790,"CCOC(=O)C1=CC(=CC=C1)C(F)(F)F",,218.175,"005257791",,
"203","CCOC(=O)c1ccc(cc1)I",142891,"CCOC(=O)C1=CC=C(C=C1)I",,276.073,"005258847",,
