CID,CanonicalSMILES,AKOS,phase,density.g.cm3,MW
6442063,CCCCCCCCCC=CC=CC=CC=CC=CC=CC(=O)O,16013070,,,328.496
67878,COC(=O)C1=CC=C(C=C1)F,295905,,1.19,154.14
67854,COC(=O)C1=CC=CC=C1F,1428541,,,154.14
142891,CCOC(=O)C1=CC=C(C=C1)I,5258847,,,276.073
88630,CCCCC1=CC=C(C=C1)C(=O)OC,6229551,,,192.258
67953,CCOC(=O)C1=CC=CC=C1F,8948024,,,168.167
11275239,C=CCCCC(CCCC=C)O,25141964,,,168.28
164822,CC1CCCCC1(C)O,9996121,,,128.215
137829,CC(C1CCCCC1)O,9157819,,,128.215
557637,CC1(CCCCC1O)C,18400514,,,128.215
2750694,CCC1(CCCC(C1)C)O,4906078,,,142.242
2750695,CCC1(CC(CCC1C)C(C)C)O,4906087,,,184.323
86850,CC1CCC(CC1O)C(C)C,4906088,,,156.269
8139,CCCCCCCCCCCC(=O)OC,4910323,,,214.349
31284,CCCCCCCCCCCCCC(=O)OC,4910358,,,242.403
5364449,CCCCC=CCCCC,6228218,,,140.27
140543,CCCCC(C(C)(C)C)O,11018651,,,144.258
643789,CC=CCO,16009829,,,72.107
84820164,CC(=C)CCCCCC(=C)CO,24262779,,,168.28
12397158,CCCCCCC=CC=CC,24262869,,,152.281
84820213,CCCCCC=CC(C)(C)C,24262871,,,154.297
84820215,CC(C)(C)C=CC=CC(C(C)(C)C)O,24262873,,,196.334
5364444,CCCCCCC=CCCCC,24262897,,,168.324
12525554,CCCCCC=CC(C)C=C,24262911,,,152.281
15527754,CCCCCCC(C(=CC)C)O,24262916,,,170.296
14840125,CCC=CCCCCC=CCC,24263044,,,166.308
5365981,CCCCCC=CC(C)C,24263045,,,140.27
84820295,CCCCCC=CC(C)(C)C,24263046,,,154.297
84820296,CCCCCC=CC(C)C,24263047,,,141.276
12768714,CCCCCCC=C(C)C(C)O,24263050,,,170.296
5367410,CCCCCC=CC=CC=C,24263056,,,150.265
58361173,CCCCCC=CCC=CC,24263058,,,152.281
10012561,CCCCC=CC(C(F)(F)F)O,24263117,,,182.186
84820355,CCCCC(C=CCO[Si](C)(C)C(C)(C)C)O,24263164,,,258.477
13355478,CC#CCCCCCCCC(=O)OC,24264137,,,196.29
12276242,CCCCCCC=CC=C,24264252,,,138.254
5365770,CCCCCCC=CC(C)O,24264260,,,156.269
5352493,CCCCCCC=CCCO,24264262,,,156.269
84820829,CC(=CCCC1(CCCC(C1)(C)C)C)CO,24264291,,,224.388
15695189,CC1(C2CC(C(=C)C1C2)CO)C,24264293,,,166.264
66743,CCOC(=O)C1=CC=C(C=C1)C,5198691,,,164.204
144790,CCOC(=O)C1=CC(=CC=C1)C(F)(F)F,5257791,,,218.175
79509,CC(CO)C1CCCCC1,6228465,,,142.242
13489923,CCOC(=O)C1=CC(=C(C=C1)C)F,9147067,,,182.194
558957,CC1CCCC(C1)(C)O,9996015,,,128.215
11830138,CCCCC(=O)CCC(=O)OCC,10910401,,,186.251
12271529,CCCC(=O)CCC(=O)OCC,10910511,,,172.224
20739,CC(C)C1CCC(CC1)O,12000610,,,142.242
23190866,CCOCCCCCC(=O)O,13620056,,,160.213
102495,CCCCCCC(C)CO,13993199,,,144.258
61137,CCCCC(=O)OCCCC,15839693,,,158.241
97948,CCCCC(CC)CCC(CC(C)C)O,16009845,,,214.393
11745391,CC(C)CCC(CO)(CO)C(C)C,16844938,,,188.311
