,AKOS.smile,CID,CanonicalSMILES,density.g.cm3,MW,AKOS,quantity (g),stored,,,
175,CCCOC(=O)c1ccc(cc1)B(O)O,23005364,B(C1=CC=C(C=C1)C(=O)OCCC)(O)O,,208.02,4113802,0.01000,,,,
263,COC(=O)c1ccccc1c1ccccc1C=O,329746,COC(=O)C1=CC=CC=C1C2=CC=CC=C2C=O,,240.258,4113810,,,,,
254,COC(=O)c1ccc(cc1)c1ccccc1C=O,4112125,COC(=O)C1=CC=C(C=C1)C2=CC=CC=C2C=O,,240.258,4113834,0.01000,,,,
251,COC(=O)c1ccc(cc1)c1ccc(cc1)C=O,4321323,COC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,,240.258,4114082,,,,,
253,COC(=O)c1ccc(cc1)c1cccc(c1)C=O,4321386,COC(=O)C1=CC=C(C=C1)C2=CC(=CC=C2)C=O,,240.258,4114083,,,,,
261,COC(=O)c1ccccc1c1cccc(c1)C,1392926,CC1=CC=CC(=C1)C2=CC=CC=C2C(=O)OC,,226.275,4114763,0.01000,,,,
259,COC(=O)c1ccccc1c1ccc(cc1)C,1393873,CC1=CC=C(C=C1)C2=CC=CC=C2C(=O)OC,,226.275,4114791,0.01000,,,,
37,CC(C1(O)C2CC3CC1CC(C2)C3)C,22042514,CC(C)C1(C2CC3CC(C2)CC1C3)O,,194.318,4120362,,,,,
303,O=C(c1ccccc1)OCCc1ccc(cc1)CCOC(=O)c1ccccc1,2749143,C1=CC=C(C=C1)C(=O)OCCC2=CC=C(C=C2)CCOC(=O)C3=CC=CC=C3,,374.436,4900825,0.00520,,,,
375,OCC(C(C)C)CCC(C(C(C)C)O)(O)C,2750563,CC(C)C(CCC(C)(C(C(C)C)O)O)CO,,232.364,4901121,0.01090,,,,
35,CC(=O)OC(c1ccccc1)CCC(=O)c1ccccc1,2752851,CC(=O)OC(CCC(=O)C1=CC=CC=C1)C2=CC=CC=C2,,282.339,4901905,0.01020,,,,
288,O[C@H]1CC[C@]2([C@H](C1)CCC1C2CC[C@]2(C1CCC2)C)C,2754138,CC12CCCC1C3CCC4CC(CCC4(C3CC2)C)O,,276.464,4902137,0.01200,,,,
326,OC(C1CCCC=C1)C(C)C,2754970,CC(C)C(C1CCCC=C1)O,,154.253,4902614,"not shipped, structure altered",do not have,,,
282,O[C@@H]1CCC=C([C@H]([C@H]1C)O)C,2755158,CC1C(CCC=C(C1O)C)O,,156.225,4902637,,,,,
283,O[C@@H]1CCC=C[C@H](C1(C)C)O,2755159,CC1(C(CCC=CC1O)O)C,,156.225,4902645,0.01040,,,,
31,CC([C@H]1CCCC[C@@H]1O)C,2747987,CC(C)C1CCCCC1O,,142.242,4903434,0.01250,,,,
400,OCCCC(C1CCC2C1(C)CCC1C2CCC2C1(C)CCCC2)C,612593,CC(CCCO)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C,,346.599,4903439,0.01430,,,,
364,OC1CCC2(C(C1)CCC1C2CCC2(C1CCC2O)C)C,11301,CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O,,292.463,4903575,0.01420,,,,
353,OC1CC[C@@]2(C1(C)CCC1C2CC[C@@]2(C1(C)CCCC2)C)C,2748126,CC12CCCCC1(C3CCC4(C(CCC4(C3CC2)C)O)C)C,,304.518,4903604,0.01290,,,,
361,OC1CCC2([C@@](C1)(C)CCC1C2CCC2(C1CCC2)C)C,2748131,CC12CCCC1C3CCC4(CC(CCC4(C3CC2)C)O)C,,290.491,4903627,0.01990,,,,
363,OC1CCC2(C(C1)CCC1C2CCC2(C1CCC2C(O)C)C)C,4901,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,,320.517,4903632,0.01120,,,,
286,O[C@@H]1CCC2(C(C1)(C)CCC1C2CCC2(C1CC[C@]2(O)C(O)C)C)C,2748166,CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O,,350.543,4903645,0.01110,,,,
285,O[C@@H]1CCC2(C(C1)(C)CCC1C2CCC2(C1C[C@](C2)(O)C(O)C)C)C,2748135,CC(C1(CC2C3CCC4(CC(CCC4(C3CCC2(C1)C)C)O)C)O)O,,350.543,4903649,0.01080,,,,
284,O[C@@H]1CCC2([C@@H](C1)CCC1C2CCC2([C@H]1CC[C@]2(C)O)C)C,2748136,CC12CCC(CC1CCC3C2CCC4(C3CCC4(C)O)C)O,,306.49,4903650,0.01360,,,,
367,OC1CCC2C1(C)CCC1C2CCC2C1(C)CCCC2,623919,CC12CCCCC1CCC3C2CCC4(C3CCC4O)C,,276.464,4903651,0.01410,,,,
50,CC[C@]1(O)CCC2([C@@](C1)(C)CCC1C2CCC2(C1CCC2O)C)C,2748170,CCC1(CCC2(C3CCC4(C(C3CCC2(C1)C)CCC4O)C)C)O,,334.544,4903668,0.01090,,,,
360,OC1CCC2([C@@](C1)(C)CCC1C2CCC2(C1CCC2(O)C(O)C)C)C,2748240,CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O,,350.543,4903788,0.01130,,,,
362,OC1CCC2(C(C1)CCC1C2CCC2(C1CC[C@@]2(O)C(O)C)C)C,2748241,CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O)O,,336.516,4903793,0.01050,,,,
74,CCC(C1CCCCC1)(C(CCC)O)O,2749621,CCCC(C(CC)(C1CCCCC1)O)O,,214.349,4905073,0.01300,,,,
398,OCCC1C(O)C2(C(C1CC2)(C)C)C,2750154,CC1(C2CCC1(C(C2CCO)O)C)C,,198.306,4905463,0.01160,,,,
305,O=C(CCc1ccccc1)/C=C/OC(=O)c1ccccc1,5705114,C1=CC=C(C=C1)CCC(=O)C=COC(=O)C2=CC=CC=C2,,280.323,4905600,,,,,
388,OCC1C(C)CCC(C1=O)C(C)C,2750470,CC1CCC(C(=O)C1CO)C(C)C,,184.279,4905651,0.01680,,,,
46,CC(CCOC(=O)c1ccccc1)CCCC(=C)C,112051,CC(CCCC(=C)C)CCOC(=O)C1=CC=CC=C1,,260.377,4905707,0.01370,,,,
298,O=C(c1ccccc1)OC/C=C/c1ccccc1,5705112,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2,,238.286,4905721,0.01420,,,,
