X,CID,CanonicalSMILES,AKOS,phase,density.g.cm3,MW,csid,density
60,94932,CC(C)(C1CCC(CC1)O)C2CCC(CC2)O,15907919,S,NA,240.387,85656,1.0
61,2724019,C1CCC(C(C1)CO)CO,15915800,S,NA,144.214,77487,1.0
62,11217323,C1CCC(C(C1)CO)CO,16000198,S,NA,144.214,77487,1.0
63,3126233,CCCCCC1CCC(CC1)C2CCC(CC2)O,16003821,S,NA,252.442,2379635,0.9
64,69485,CCCCCCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCCCCCCCC,16015529,S,NA,550.953,62691,0.9
65,75779,CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC,22183496,S,NA,452.808,68290,0.9
66,6885,C1C2=CC=CC=C2C(=O)O1,121167,S,NA,134.134,6621,1.3
67,5192,C(CCCCC(=O)O)CCCC(=O)O,120056,S,1.2,202.25,5004,1.1
68,12736,C(CCCCCC(=O)O)CCCCC(=O)O,15892807,S,NA,230.304,12213,1.1
69,7391,CC(C)(C)C1CCC(CC1)O,120382,S,NA,156.269,7113,0.9
70,1254,CC1CCC(C(C1)O)C(C)C,119740,S,0.904,156.269,1216,0.9
71,10457,C(CCCC(=O)O)CCC(=O)O,119018,S,NA,174.196,10025,1.2
72,8298,CC1CC(CC(C1)(C)C)O,16844021,S,NA,142.242,7997,0.9
73,642371,C1=CC=C(C=C1)C=C2C3=CC=CC=C3C(=O)O2,567737,S,NA,222.243,610569,1.3
74,10467,CCCCCCCCCCCCCCCCCCCC(=O)O,15839825,S,NA,312.538,10035,0.9
75,77237,C(CCCCCO)CCCCC(=O)O,5394200,S,NA,202.294,69664,1.0
76,10458,C(CCCCCC(=O)O)CCCCCC(=O)O,5381208,S,NA,244.331,10026,1.1
77,160576,C(CCCCCCC(=O)O)CCCCCCC(=O)O,16010374,S,NA,272.385,141102,1.0
78,11042078,CC(CO)C1CCC2C1(CCCC2O)C,17343723,S,NA,212.333,14718879,1.1
79,13099,COC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC,1588888,S,NA,270.284,12551,1.2
80,170805,CC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC,2679543,S,NA,226.275,149331,1.1
81,1394187,CC1=CC=C(C=C1)C2=CC(=CC=C2)C(=O)OC,2679583,S,NA,226.275,1163375,1.1
82,23005364,B(C1=CC=C(C=C1)C(=O)OCCC)(O)O,4113802,S,NA,208.02,12951174,1.2
83,4112125,COC(=O)C1=CC=C(C=C1)C2=CC=CC=C2C=O,4113834,S,NA,240.258,3325754,1.2
84,1393873,CC1=CC=C(C=C1)C2=CC=CC=C2C(=O)OC,4114791,S,NA,226.275,1163270,1.1
85,5910650,CC1=CC=C(C=C1)C(=O)OC=CC(=O)OC,5093990,S,NA,220.224,4744004,1.2
86,519631,CCOC(=O)C1=C(C=CC=C1F)F,8947914,S,NA,186.158,453259,1.2
87,17141,CC1(CCC(CC1)C(C)(C)O)O.O,16013500,S,NA,190.283,16225,"NA"
88,46738073,[B-](C1=CC=C(C=C1)C(=O)OCC)(F)(F)F.[K+],16339828,S,NA,256.073,24602490,"NA"
89,16666,CC1CCC(C(C1)O)C(C)C,16842647,S,0.904,156.269,1216,0.9
90,57712187,CC(CO)C1CCC2C1(CCCC2O)C,22193598,S,NA,212.333,14718879,1.1
91,582534,C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)C#N,2474881,S,NA,237.258,506336,1.2
92,21584,CC1CC(CC(C1)O)C,9156899,S,NA,128.215,20286,0.9
93,18920184,CCOC(=O)C1=C(C=C(C=C1)F)C,6293745,S,NA,182.194,13957420,1.1
94,57449962,CC(C)(C1CCC(CC1)O)C(=O)O,24162794,S,NA,186.251,34215780,1.1
95,139743,COC(=O)CC1CCCCC1,8910111,S,NA,156.225,123239,1.0
96,97959,CC1CCC(C(C1)O)C,6229596,S,NA,128.215,88432,0.9
97,7735,C1CC(CCC1CO)CO,15833096,S,NA,144.214,7449,1.0
98,263144,C1C(OC(=O)C2=CC=CC=C21)C3=CC=CC=C3,1145957,S,NA,224.259,231138,1.2
99,2754189,CC12CCCCC1CCC3C2CCC4(C3CCC4O)C,2705556,S,NA,276.464,542037,1.0
100,2749143,C1=CC=C(C=C1)C(=O)OCCC2=CC=C(C=C2)CCOC(=O)C3=CC=CC=C3,4900825,S,NA,374.436,2030493,1.2
101,2750563,CC(C)C(CCC(C)(C(C(C)C)O)O)CO,4901121,S,NA,232.364,2031825,1.0
102,2752851,CC(=O)OC(CCC(=O)C1=CC=CC=C1)C2=CC=CC=C2,4901905,S,NA,282.339,2033925,1.1
103,2754138,CC12CCCC1C3CCC4CC(CCC4(C3CC2)C)O,4902137,S,NA,276.464,388361,1.0
104,2755159,CC1(C(CCC=CC1O)O)C,4902645,S,NA,156.225,2035999,1.0
105,2747987,CC(C)C1CCCCC1O,4903434,S,NA,142.242,86028,0.9
106,612593,CC(CCCO)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C,4903439,S,NA,346.599,532510,1.0
107,11301,CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O,4903575,S,NA,292.463,10826,1.1
108,2748126,CC12CCCCC1(C3CCC4(C(CCC4(C3CC2)C)O)C)C,4903604,S,NA,304.518,4310549,1.0
109,2748131,CC12CCCC1C3CCC4(CC(CCC4(C3CC2)C)O)C,4903627,S,NA,290.491,3559384,1.0
